MatchType;MatchValue;IDE;Target;Publisher;ExtensionId;DisplayName;LatestVersion;InstallCount;AverageRating;RatingCount;MarketplaceTags;MarketplaceUrl
Tag;ai;VSCode;Microsoft.VisualStudio.Code;CodeViz;codeviz;CodeViz | Visual codebase maps;1.6.9;75846;4;14;;https://marketplace.visualstudio.com/items?itemName=CodeViz.codeviz
Tag;claude;VSCode;Microsoft.VisualStudio.Code;CodeViz;codeviz;CodeViz | Visual codebase maps;1.6.9;75871;4;14;;https://marketplace.visualstudio.com/items?itemName=CodeViz.codeviz
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;CodeViz;codeviz;CodeViz | Visual codebase maps;1.6.9;75886;4;14;;https://marketplace.visualstudio.com/items?itemName=CodeViz.codeviz
Category;AI;VSCode;Microsoft.VisualStudio.Code;Codee;codee;Codee;1.3.7;537;;;;https://marketplace.visualstudio.com/items?itemName=Codee.codee
Tag;ai;VSCode;Microsoft.VisualStudio.Code;Codee;codee;Codee;1.3.7;537;;;;https://marketplace.visualstudio.com/items?itemName=Codee.codee
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;Codee;codee;Codee;1.3.7;538;;;;https://marketplace.visualstudio.com/items?itemName=Codee.codee
Tag;deepseek;VSCode;Microsoft.VisualStudio.Code;Codee;codee;Codee;1.3.7;537;;;;https://marketplace.visualstudio.com/items?itemName=Codee.codee
Tag;llama;VSCode;Microsoft.VisualStudio.Code;Codee;codee;Codee;1.3.7;537;;;;https://marketplace.visualstudio.com/items?itemName=Codee.codee
Category;AI;VSCode;Microsoft.VisualStudio.Code;Codefly;codefly;Codefly;0.1.2;9;;;;https://marketplace.visualstudio.com/items?itemName=Codefly.codefly
Tag;ai;VSCode;Microsoft.VisualStudio.Code;Codefly;codefly;Codefly;0.1.2;9;;;;https://marketplace.visualstudio.com/items?itemName=Codefly.codefly
