MatchType;MatchValue;IDE;Target;Publisher;ExtensionId;DisplayName;LatestVersion;InstallCount;AverageRating;RatingCount;MarketplaceTags;MarketplaceUrl
Tag;openai;VSCode;Microsoft.VisualStudio.Code;CrowtherVentures;codeyak;CodeYak;1.1.2;5;5;1;;https://marketplace.visualstudio.com/items?itemName=CrowtherVentures.codeyak
Category;AI;VSCode;Microsoft.VisualStudio.Code;Cubent;cubent;Cubent - AI Coding Agent & Autocomplete - GPT-5, Claude 4, DeepSeek R1, Kimi K2, Qwen3-Coder  & OpenRouter;0.33.7;1654;5;1;;https://marketplace.visualstudio.com/items?itemName=Cubent.cubent
Tag;ai;VSCode;Microsoft.VisualStudio.Code;Cubent;cubent;Cubent - AI Coding Agent & Autocomplete - GPT-5, Claude 4, DeepSeek R1, Kimi K2, Qwen3-Coder  & OpenRouter;0.33.7;1652;5;1;;https://marketplace.visualstudio.com/items?itemName=Cubent.cubent
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;Cubent;cubent;Cubent - AI Coding Agent & Autocomplete - GPT-5, Claude 4, DeepSeek R1, Kimi K2, Qwen3-Coder  & OpenRouter;0.33.7;1657;5;1;;https://marketplace.visualstudio.com/items?itemName=Cubent.cubent
Tag;claude;VSCode;Microsoft.VisualStudio.Code;Cubent;cubent;Cubent - AI Coding Agent & Autocomplete - GPT-5, Claude 4, DeepSeek R1, Kimi K2, Qwen3-Coder  & OpenRouter;0.33.7;1655;5;1;;https://marketplace.visualstudio.com/items?itemName=Cubent.cubent
Tag;llama;VSCode;Microsoft.VisualStudio.Code;Cubent;cubent;Cubent - AI Coding Agent & Autocomplete - GPT-5, Claude 4, DeepSeek R1, Kimi K2, Qwen3-Coder  & OpenRouter;0.33.7;1652;5;1;;https://marketplace.visualstudio.com/items?itemName=Cubent.cubent
Category;AI;VSCode;Microsoft.VisualStudio.Code;Cubyts;cubyts-codeanalysis;Cubyts Code Analysis;1.3.3;23;;;;https://marketplace.visualstudio.com/items?itemName=Cubyts.cubyts-codeanalysis
Tag;ai;VSCode;Microsoft.VisualStudio.Code;Cue;cueai;Cue AI;0.0.12;887;;;;https://marketplace.visualstudio.com/items?itemName=Cue.cueai
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;Cue;cueai;Cue AI;0.0.12;887;;;;https://marketplace.visualstudio.com/items?itemName=Cue.cueai
Tag;llm;VSCode;Microsoft.VisualStudio.Code;Cue;cueai;Cue AI;0.0.12;887;;;;https://marketplace.visualstudio.com/items?itemName=Cue.cueai
Tag;openai;VSCode;Microsoft.VisualStudio.Code;Cue;cueai;Cue AI;0.0.12;887;;;;https://marketplace.visualstudio.com/items?itemName=Cue.cueai
